Sector: Basic Materials
Agricultural Inputs
Aluminum
Building Materials
Chemicals
Coking Coal
Copper
Gold
Lumber & Wood Production
Other Industrial Metals & Mining
Other Precious Metals & Mining
Paper & Paper Products
Silver
Specialty Chemicals
Steel
